"","fid","x","submission_date","meta_instance_id","village","age","gender","ethnicity","education","born","household_size","hs","household_comp","hc_gen","hc_det","young_boy","adolesc_boy","men","young_girl","adolesc_girl","women","food_uncertainty","selling_possessions","farm","livestock","conflict_type","crop_threat_rate","farm_size","field_sight","farm_walk","months_planted","crops_planted","crop_prot","other_crop_prot","crop_species","other_crop_species","top_species","other_top_species","elephant_crops_vao","herd_comp","cattle","sheep","goat","donkey","dog","chicken","duck","other_livestock","livestock_threat","small_lv_prot","small_lv_prot_other_day","small_lv_prot_other_night","med_lar_lv_prot","med_lar_lv_prot_other_day","med_lar_lv_prot_other_night","med_lar_lv_guard_day","guard_ave_day","med_lar_lv_guard_night","guard_ave_night","lv_small_loss","chicken_loss","duck_loss","other_small_loss","species_small_lv","species_small_lv_other","species_concern_small_lv","species_concern_small_lv_other","lv_med_loss","cattle_loss","goat_loss","sheep_loss","donkey_loss","dog_loss","other_med_loss","species_med_lv","species_med_lv_other","species_concern_med_lv","species_concern_med_lv_other","lv_ele_vao","lv_hyena_vao","lv_lion_vao","lv_leopard_vao","species_structures","household_location_altitude","household_location_accuracy","key","elephant_c","baboon_c","buffalo_c","hippo_c","other_c","elephant_l","hyena_l","lion_l","leopard_l","conflict","species","ID","crop","c70","c2070","river","road","ID","GSE_slope30m","ID","build_dens","ID","Settle_Dist"
"12",12,12,"NA","uuid:73a97fda-75e9-4168-8165-506d2af5fa93","Nyiberekera",34,"Male","Mjita","Post_secondary","No",6,1,"Adolesc_boy Men Young_girl Women",1,1,-2147483648,1,3,1,-2147483648,1,3,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",11,"No","30_45",10,3,"Fire Shouting Chasing","","Elephant","","Elephant","","Always","Cattle Sheep Chicken",20,120,-2147483648,-2147483648,-2147483648,30,-2147483648,-2147483648,"Low_productivity","Day_contain Night_contained","NA","NA","Day_guard Night_contain","","NA","Men",2,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","Sheep",-2147483648,-2147483648,8,"NA",-2147483648,-2147483648,"Hyena","NA","Hyena","NA","","Sometimes","","","Elephant",1172.1,4.6,"uuid:73a97fda-75e9-4168-8165-506d2af5fa93",1,0,0,0,0,0,1,0,0,1,"elephant",12,0.352966781214204,0.0239633452147245,0.20843069255352,0.0219358541071415,0.0019816723652184,12,1.81188358827881,12,18.5001697540283,12,3109.7197265625
"13",13,13,"NA","uuid:53243127-eb8a-4af8-9b41-f826f8eda447","Iharara",40,"Female","Msukuma","Primary","No",21,1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,4,4,5,2,2,4,2,"Few_times","Yes","Yes","Crop_damage Structure","Wildlife",6,"Yes","15_30",11,3,"Shouting Chasing","","Elephant","","Elephant","","Sometimes","Cattle Goat Dog",15,-2147483648,47,-2147483648,5,-2147483648,-2147483648,-2147483648,"Weather","Night_contained Day_none","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys",1,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","",-2147483648,-2147483648,-2147483648,"NA",-2147483648,-2147483648,"","NA","","NA","","","","","Elephant",1211.9,5,"uuid:53243127-eb8a-4af8-9b41-f826f8eda447",1,0,0,0,0,0,0,0,0,1,"elephant",13,0.341718213058419,0.0267353951931,0.18699885904789,0.0221534930169582,0.00428407778963447,13,1.77090065418712,13,14.6422548294067,13,1556.79772949219
"14",14,14,"NA","uuid:fa91773e-c3ef-48c1-94ab-5fa2bee734fd","Iharara",27,"Female","Msukuma","Primary","No",8,1,"Young_boy Adolesc_boy Men Young_girl Women",1,1,2,1,2,1,-2147483648,2,3,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",5,"Yes","0_15",9,2,"Fire Shouting","","Elephant","","Elephant","","Often","Cattle Sheep Goat",35,11,7,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,"Wildlife","NA_noSmall","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys",1,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","Goat Sheep",-2147483648,3,5,"NA",-2147483648,-2147483648,"Hyena","NA","Hyena","NA","","Rarely","","","",1259.1,3.8,"uuid:fa91773e-c3ef-48c1-94ab-5fa2bee734fd",1,0,0,0,0,0,1,0,0,1,"elephant",14,0.337388316151203,0.0125544099137187,0.161225661635399,0.0178579613566399,0.00569301238283515,14,1.84732267428896,14,18.041805267334,14,1375.20581054688
"15",15,15,"NA","uuid:280ba578-0a5c-456f-94d5-36eb818eab62","Iharara",36,"Female","Mjaluo","Primary","No",5,1,"Young_boy Adolesc_boy Men Young_girl Women",1,1,1,1,1,1,-2147483648,1,3,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",5,"Yes","0_15",9,1,"Guarding Fire Shouting","","Elephant","","Elephant","","Often","Cattle Sheep",18,50,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,"Low_productivity","NA_noSmall","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys",1,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","Sheep",-2147483648,-2147483648,4,"NA",-2147483648,-2147483648,"Hyena","NA","Hyena","NA","","Rarely","","","",1234.8,3.9,"uuid:280ba578-0a5c-456f-94d5-36eb818eab62",1,0,0,0,0,0,1,0,0,1,"elephant",15,0.38602520045819,0.00891179870814085,0.204696446657181,0.0163001138716936,0.00218785787001252,15,1.94869330363209,15,22.2180309295654,15,2791.83666992188
"16",16,16,"NA","uuid:1bf51524-a9d4-4d7b-bdeb-fec2700948b7","Park nyigoti",25,"Female","Mwikoma","Primary","Yes",2,1,"Men",1,1,-2147483648,-2147483648,2,-2147483648,-2147483648,-2147483648,2,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",3,"No","15_30",9,1,"Fire Shouting Chasing","","Elephant","","Elephant","","Often","Cattle Sheep Goat",300,50,35,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,"Weather","NA_noSmall","NA","NA","Day_guard Night_contain","","NA","Men",2,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","Cattle Goat Sheep",6,4,2,"NA",-2147483648,-2147483648,"Elephant Hyena Lion","NA","Lion","NA","Often","Often","Often","","",1347.8,4.4,"uuid:1bf51524-a9d4-4d7b-bdeb-fec2700948b7",1,0,0,0,0,1,1,1,0,1,"elephant",16,0.151099656357388,0.0247079040855169,0.663184404373169,0.0236082468181849,0.0182932410389185,16,2.81663366667252,16,7.02828216552734,16,179.332305908203
"17",17,17,"NA","uuid:3d837ae1-e82c-4f06-93ee-62460e3de704","Park nyigoti",32,"Male","Mwikoma","Primary","Yes",4,1,"Adolesc_boy Men Women",1,1,-2147483648,2,1,-2147483648,-2147483648,1,2,"Once_or_twice","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",3,"No","15_30",9,2,"Guarding Fire Shouting Chasing","","Elephant","","Elephant","","Often","Cattle Sheep",20,12,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,"Wildlife","NA_noSmall","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys",2,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","Goat",-2147483648,2,-2147483648,"NA",-2147483648,-2147483648,"Hyena","NA","Hyena","NA","","Often","","","",1427.2,3.6,"uuid:3d837ae1-e82c-4f06-93ee-62460e3de704",1,0,0,0,0,0,1,0,0,1,"elephant",17,0.203012600229095,0.0286712478846312,0.562199294567108,0.0284994281828403,0.0142038948833942,17,3.08042644871162,17,10.7334089279175,17,1105.88256835938
"18",18,18,"NA","uuid:085db8e1-2ce9-48fe-9fd7-8d70d067d33d","Park nyigoti",22,"Male","Mwikoma","O_level","Yes",5,1,"Adolesc_boy Men",1,1,-2147483648,2,3,-2147483648,-2147483648,-2147483648,3,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",5,"No","45_60",9,3,"Shouting Chasing","","Elephant","","Elephant","","Often","Cattle Sheep Goat",200,80,60,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,"Grazing_land","NA_noSmall","NA","NA","Day_guard Night_contain","","NA","Men",1,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","Cattle Goat Sheep",22,5,3,"NA",-2147483648,-2147483648,"Hyena Lion","NA","Lion","NA","","Rarely","Sometimes","","Elephant",1489.9,4.1,"uuid:085db8e1-2ce9-48fe-9fd7-8d70d067d33d",1,0,0,0,0,0,1,1,0,1,"elephant",18,0.258739977090492,0.0364833921194077,0.454845368862152,0.0462428405880928,0.00971363112330437,18,3.48198195925352,18,19.2131843566895,18,200.499618530273
"19",19,19,"NA","uuid:02bedbdc-07a4-4caa-a458-79e4dc384039","Bwitengi",48,"Male","Mwikoma","Primary","Yes",11,1,"Young_boy Adolesc_boy Men Adolesc_girl Women",1,1,2,4,2,-2147483648,1,2,3,"Few_times","Yes","Yes","Crop_damage Structure","Wildlife",8,"Yes","0_15",9,4,"Shouting Chasing","","Elephant","","Elephant","","Often","Dog Chicken",-2147483648,-2147483648,-2147483648,-2147483648,1,2,-2147483648,-2147483648,"Disease","Night_contained Day_none","NA","NA","NA_noMedLV","","NA","",-2147483648,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","",-2147483648,-2147483648,-2147483648,"NA",-2147483648,-2147483648,"","NA","","NA","","","","","Elephant",1262.9,5,"uuid:02bedbdc-07a4-4caa-a458-79e4dc384039",1,0,0,0,0,0,0,0,0,1,"elephant",19,0.333276059564719,0.0313287526369095,0.334799528121948,0.0492096208035946,0.00912943854928017,19,3.47559844061084,19,27.6420307159424,19,1261.36059570312
"20",20,20,"NA","uuid:72bdcaed-47de-4d93-a2a1-17b8dab0a903","Morotonga",24,"Male","Mwikoma","Primary","Yes",2,1,"Men Women",1,1,-2147483648,-2147483648,1,-2147483648,-2147483648,1,2,"Once_or_twice","Yes","No","Crop_damage","Wildlife",2,"No","15_30",9,2,"Shouting","","Elephant","","Elephant","","Often","",-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,"","","NA","NA","","","NA","",-2147483648,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","",-2147483648,-2147483648,-2147483648,"NA",-2147483648,-2147483648,"","NA","","NA","","","","","",1606.1,4.2,"uuid:72bdcaed-47de-4d93-a2a1-17b8dab0a903",1,0,0,0,0,0,0,0,0,1,"elephant",20,0.375475372279496,0.0228293240070343,0.188190147280693,0.0408018343150616,0.0152233680710196,20,2.92839526877661,20,117.532745361328,20,9704.310546875
"21",21,21,"NA","uuid:92887831-57ba-402a-a397-e1d4ac231403","Burunga",80,"Male","Mumbwa","Primary","No",-2147483648,0,"",0,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,3,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med","Weather",2,"Yes","0_15",9,3,"Shouting","","Other","Nguchiro","Other","Nguchiro","","Goat",-2147483648,-2147483648,3,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,"Wildlife","NA_noSmall","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys",1,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","Goat",-2147483648,2,-2147483648,"NA",-2147483648,-2147483648,"Hyena","NA","Hyena","NA","","Rarely","","","",1517.6,4.7,"uuid:92887831-57ba-402a-a397-e1d4ac231403",0,0,0,0,1,0,1,0,0,0,"elephant",21,0.416414662084765,0.0142268044874072,0.186357393860817,0.035074457526207,0.0129782361909747,21,2.92005657108208,21,99.3890762329102,21,8663.244140625
"22",22,22,"NA","uuid:c675b74d-7e6e-4783-ac90-d2850a5d9f8f","Morotonga",23,"Female","Mjita","Primary","No",4,1,"Young_boy Men Women",1,1,2,-2147483648,1,-2147483648,-2147483648,1,3,"Few_times","Yes","No","No_conflict","Weather",1,"Yes","0_15",9,1,"None","","","","","","","",-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,"","","NA","NA","","","NA","",-2147483648,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","",-2147483648,-2147483648,-2147483648,"NA",-2147483648,-2147483648,"","NA","","NA","","","","","",1592,5,"uuid:c675b74d-7e6e-4783-ac90-d2850a5d9f8f",0,0,0,0,0,0,0,0,0,0,"elephant",22,0.379129438717068,0.0231271479278803,0.194112256169319,0.0373654067516327,0.013791523873806,22,2.92894935428106,22,98.0394439697266,22,7952.02783203125
"23",23,23,"NA","uuid:ce495ffa-c132-4b21-ab93-cdc67180c428","Morotonga",35,"Male","Mwikoma","Primary","Yes",3,1,"Young_boy Men Women",1,1,1,-2147483648,1,-2147483648,-2147483648,1,1,"Never","Yes","Yes","No_conflict","Weather",2,"Yes","0_15",9,2,"None","","","","","","","Chicken",-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,10,-2147483648,-2147483648,"Wildlife","Day_contain Night_contained","NA","NA","NA_noMedLV","","NA","",-2147483648,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","",-2147483648,-2147483648,-2147483648,"NA",-2147483648,-2147483648,"","NA","","NA","","","","","",1617.5,5,"uuid:ce495ffa-c132-4b21-ab93-cdc67180c428",0,0,0,0,0,0,0,0,0,0,"elephant",23,0.404902634593356,0.0241924393922091,0.179312720894814,0.04035509750247,0.0142268044874072,23,2.8947485592282,23,91.1894149780273,23,7506.5322265625
"24",24,24,"NA","uuid:42599dbd-b0ae-4e27-bec0-985d7278f007","Manchira",35,"Male","Mwikoma","Primary","Yes",2,1,"Men Women",1,1,-2147483648,-2147483648,1,-2147483648,-2147483648,1,3,"Few_times","Yes","No","Crop_damage","Wildlife",3,"No","45_60",9,2,"Shouting","","Elephant","","Elephant","","Sometimes","",-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,"","","NA","NA","","","NA","",-2147483648,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","",-2147483648,-2147483648,-2147483648,"NA",-2147483648,-2147483648,"","NA","","NA","","","","","",1613.4,5,"uuid:42599dbd-b0ae-4e27-bec0-985d7278f007",1,0,0,0,0,0,0,0,0,1,"elephant",24,0.449942726231386,0.0248109959065914,0.172554403543472,0.0423711352050304,0.0108132874593139,24,2.89974120736532,24,95.1491928100586,24,8348.16015625
"25",25,25,"NA","uuid:899e4d7c-a6b0-4261-99fb-0bd15ffbb6fd","Kebosongo",53,"Male","Mkurya","Primary","Yes",12,1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,2,2,2,2,2,2,1,"Never","Yes","Yes","Crop_damage Livestock_loss_med Structure","Weather",2,"Yes","0_15",9,2,"Guarding Chasing Dogs","","Other","Nguchiro","Other","Tumbili","","Cattle Sheep Chicken",25,23,-2147483648,-2147483648,-2147483648,8,-2147483648,-2147483648,"Disease","Day_contain Night_contained","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys",2,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","Goat",-2147483648,10,-2147483648,"NA",-2147483648,-2147483648,"Hyena","NA","Hyena","NA","","Often","","","Elephant",1650.9,4.9,"uuid:899e4d7c-a6b0-4261-99fb-0bd15ffbb6fd",0,0,0,0,1,0,1,0,0,0,"elephant",25,0.46991981672394,0.0236884299665689,0.181363120675087,0.0383963361382484,0.0141580756753683,25,2.80534283199568,25,102.432121276855,25,9375.390625
