"","fid","x","submission_date","meta_instance_id","village","age","gender","ethnicity","education","born","household_size","hs","household_comp","hc_gen","hc_det","young_boy","adolesc_boy","men","young_girl","adolesc_girl","women","food_uncertainty","selling_possessions","farm","livestock","conflict_type","crop_threat_rate","farm_size","field_sight","farm_walk","months_planted","crops_planted","crop_prot","other_crop_prot","crop_species","other_crop_species","top_species","other_top_species","elephant_crops_vao","herd_comp","cattle","sheep","goat","donkey","dog","chicken","duck","other_livestock","livestock_threat","small_lv_prot","small_lv_prot_other_day","small_lv_prot_other_night","med_lar_lv_prot","med_lar_lv_prot_other_day","med_lar_lv_prot_other_night","med_lar_lv_guard_day","guard_ave_day","med_lar_lv_guard_night","guard_ave_night","lv_small_loss","chicken_loss","duck_loss","other_small_loss","species_small_lv","species_small_lv_other","species_concern_small_lv","species_concern_small_lv_other","lv_med_loss","cattle_loss","goat_loss","sheep_loss","donkey_loss","dog_loss","other_med_loss","species_med_lv","species_med_lv_other","species_concern_med_lv","species_concern_med_lv_other","lv_ele_vao","lv_hyena_vao","lv_lion_vao","lv_leopard_vao","species_structures","household_location_altitude","household_location_accuracy","key","elephant_c","baboon_c","buffalo_c","hippo_c","other_c","vervet_c","elephant_l","hyena_l","lion_l","leopard_l","conflict","species","ID","crop","c70","c2070","river","road","gse_slope30m","build_dens","settle_dist"
"17",17,17,"NA","uuid:3d837ae1-e82c-4f06-93ee-62460e3de704","Park nyigoti",32,"Male","Mwikoma","Primary","Yes","4",1,"Adolesc_boy Men Women",1,1,"NA","2","1","NA","NA","1",2,"Once_or_twice","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",3,"No","15_30","9","2","Guarding Fire Shouting Chasing","","Elephant","","Elephant","","Often","Cattle Sheep","20","12","NA","NA","NA","NA","NA","NA","Wildlife","NA_noSmall","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys","2","NA","NA","","NA","NA","NA","","NA","","NA","Goat","NA","2","NA","NA","NA","NA","Hyena","NA","Hyena","NA","","Often","","","",1427.2,3.6,"uuid:3d837ae1-e82c-4f06-93ee-62460e3de704",1,0,0,0,0,0,0,1,0,0,1,"elephant",17,0.203012600541115,0.0286712478846312,0.562199294567108,0.0284994281828403,0.0142038948833942,3.08042645454407,10.7334089279175,1105.88256835938
"18",18,18,"NA","uuid:085db8e1-2ce9-48fe-9fd7-8d70d067d33d","Park nyigoti",22,"Male","Mwikoma","O_level","Yes","5",1,"Adolesc_boy Men",1,1,"NA","2","3","NA","NA","NA",3,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",5,"No","45_60","9","3","Shouting Chasing","","Elephant","","Elephant","","Often","Cattle Sheep Goat","200","80","60","NA","NA","NA","NA","NA","Grazing_land","NA_noSmall","NA","NA","Day_guard Night_contain","","NA","Men","1","NA","NA","","NA","NA","NA","","NA","","NA","Cattle Goat Sheep","22","5","3","NA","NA","NA","Hyena Lion","NA","Lion","NA","","Rarely","Sometimes","","Elephant",1489.9,4.1,"uuid:085db8e1-2ce9-48fe-9fd7-8d70d067d33d",1,0,0,0,0,0,0,1,1,0,1,"elephant",18,0.258739978075027,0.0364833921194077,0.454845368862152,0.0462428405880928,0.00971363112330437,3.48198199272156,19.2131843566895,200.499618530273
"19",19,19,"NA","uuid:02bedbdc-07a4-4caa-a458-79e4dc384039","Bwitengi",48,"Male","Mwikoma","Primary","Yes","11",1,"Young_boy Adolesc_boy Men Adolesc_girl Women",1,1,"2","4","2","NA","1","2",3,"Few_times","Yes","Yes","Crop_damage Structure","Wildlife",8,"Yes","0_15","9","4","Shouting Chasing","","Elephant","","Elephant","","Often","Dog Chicken","NA","NA","NA","NA","1","2","NA","NA","Disease","Night_contained Day_none","NA","NA","NA_noMedLV","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","Elephant",1262.9,5,"uuid:02bedbdc-07a4-4caa-a458-79e4dc384039",1,0,0,0,0,0,0,0,0,0,1,"elephant",19,0.333276063203812,0.0313287526369095,0.334799528121948,0.0492096208035946,0.00912943854928017,3.47559833526611,27.6420307159424,1261.36059570312
"20",20,20,"NA","uuid:72bdcaed-47de-4d93-a2a1-17b8dab0a903","Morotonga",24,"Male","Mwikoma","Primary","Yes","2",1,"Men Women",1,1,"NA","NA","1","NA","NA","1",2,"Once_or_twice","Yes","No","Crop_damage","Wildlife",2,"No","15_30","9","2","Shouting","","Elephant","","Elephant","","Often","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1606.1,4.2,"uuid:72bdcaed-47de-4d93-a2a1-17b8dab0a903",1,0,0,0,0,0,0,0,0,0,1,"elephant",20,0.375475376844406,0.0228293240070343,0.188190147280693,0.0408018343150616,0.0152233680710196,2.92839527130127,117.532745361328,9704.310546875
"21",21,21,"NA","uuid:92887831-57ba-402a-a397-e1d4ac231403","Burunga",80,"Male","Mumbwa","Primary","No","NA",0,"",0,0,"NA","NA","NA","NA","NA","NA",3,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med","Weather",2,"Yes","0_15","9","3","Shouting","","Other","Nguchiro","Other","Nguchiro","","Goat","NA","NA","3","NA","NA","NA","NA","NA","Wildlife","NA_noSmall","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys","1","NA","NA","","NA","NA","NA","","NA","","NA","Goat","NA","2","NA","NA","NA","NA","Hyena","NA","Hyena","NA","","Rarely","","","",1517.6,4.7,"uuid:92887831-57ba-402a-a397-e1d4ac231403",0,0,0,0,1,0,0,1,0,0,0,"elephant",21,0.416414648294449,0.0142268044874072,0.186357393860817,0.035074457526207,0.0129782361909747,2.92005658149719,99.3890762329102,8663.244140625
"22",22,22,"NA","uuid:c675b74d-7e6e-4783-ac90-d2850a5d9f8f","Morotonga",23,"Female","Mjita","Primary","No","4",1,"Young_boy Men Women",1,1,"2","NA","1","NA","NA","1",3,"Few_times","Yes","No","No_conflict","Weather",1,"Yes","0_15","9","1","None","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1592,5,"uuid:c675b74d-7e6e-4783-ac90-d2850a5d9f8f",0,0,0,0,0,0,0,0,0,0,0,"elephant",22,0.379129439592361,0.0231271479278803,0.194112256169319,0.0373654067516327,0.013791523873806,2.9289493560791,98.0394439697266,7952.02783203125
"23",23,23,"NA","uuid:ce495ffa-c132-4b21-ab93-cdc67180c428","Morotonga",35,"Male","Mwikoma","Primary","Yes","3",1,"Young_boy Men Women",1,1,"1","NA","1","NA","NA","1",1,"Never","Yes","Yes","No_conflict","Weather",2,"Yes","0_15","9","2","None","","","","","","","Chicken","NA","NA","NA","NA","NA","10","NA","NA","Wildlife","Day_contain Night_contained","NA","NA","NA_noMedLV","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1617.5,5,"uuid:ce495ffa-c132-4b21-ab93-cdc67180c428",0,0,0,0,0,0,0,0,0,0,0,"elephant",23,0.404902637004852,0.0241924393922091,0.179312720894814,0.04035509750247,0.0142268044874072,2.89474844932556,91.1894149780273,7506.5322265625
"24",24,24,"NA","uuid:42599dbd-b0ae-4e27-bec0-985d7278f007","Manchira",35,"Male","Mwikoma","Primary","Yes","2",1,"Men Women",1,1,"NA","NA","1","NA","NA","1",3,"Few_times","Yes","No","Crop_damage","Wildlife",3,"No","45_60","9","2","Shouting","","Elephant","","Elephant","","Sometimes","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1613.4,5,"uuid:42599dbd-b0ae-4e27-bec0-985d7278f007",1,0,0,0,0,0,0,0,0,0,1,"elephant",24,0.449942737817764,0.0248109959065914,0.172554403543472,0.0423711352050304,0.0108132874593139,2.89974117279053,95.1491928100586,8348.16015625
"25",25,25,"NA","uuid:899e4d7c-a6b0-4261-99fb-0bd15ffbb6fd","Kebosongo",53,"Male","Mkurya","Primary","Yes","12",1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,"2","2","2","2","2","2",1,"Never","Yes","Yes","Crop_damage Livestock_loss_med Structure","Weather",2,"Yes","0_15","9","2","Guarding Chasing Dogs","","Other","Nguchiro","Other","Tumbili","","Cattle Sheep Chicken","25","23","NA","NA","NA","8","NA","NA","Disease","Day_contain Night_contained","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys","2","NA","NA","","NA","NA","NA","","NA","","NA","Goat","NA","10","NA","NA","NA","NA","Hyena","NA","Hyena","NA","","Often","","","Elephant",1650.9,4.9,"uuid:899e4d7c-a6b0-4261-99fb-0bd15ffbb6fd",0,0,0,0,1,0,0,1,0,0,0,"elephant",25,0.469919830560684,0.0236884299665689,0.181363120675087,0.0383963361382484,0.0141580756753683,2.80534291267395,102.432121276855,9375.390625
"26",26,26,"NA","uuid:1d4b975d-0d28-4144-afc9-5b596ff4f12c","Kebosongo",36,"Male","Mkurya","Primary","Yes","4",1,"Adolesc_boy Men Women",1,1,"NA","2","1","NA","NA","1",2,"Few_times","Yes","No","No_conflict","Weather",2,"Yes","0_15","8","2","None","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1661.7,5,"uuid:1d4b975d-0d28-4144-afc9-5b596ff4f12c",0,0,0,0,0,0,0,0,0,0,0,"elephant",26,0.495246291160583,0.0244215354323387,0.169564723968506,0.0408934690058231,0.008522336371243,2.89503645896912,68.8567962646484,8168.86572265625
"27",27,27,"NA","uuid:e4a89ccf-474d-4882-a33e-270fe3ee6a76","Kebosongo",53,"Female","Mkurya","None","No","4",1,"Adolesc_boy Adolesc_girl Women",1,1,"NA","2","NA","NA","1","1",3,"Few_times","Yes","No","Crop_damage","Wildlife",5,"Yes","0_15","9","2","Shouting","","Elephant","","Elephant","","Often","","NA","NA","NA","NA","NA","NA","NA","NA","","","NA","NA","","","NA","","NA","NA","NA","","NA","NA","NA","","NA","","NA","","NA","NA","NA","NA","NA","NA","","NA","","NA","","","","","",1638.2,4.9,"uuid:e4a89ccf-474d-4882-a33e-270fe3ee6a76",1,0,0,0,0,0,0,0,0,0,1,"elephant",27,0.486552119255066,0.0264604818075895,0.198476523160934,0.0393585339188576,0.0096219927072525,2.82875657081604,63.3818626403809,7884.56201171875
"28",28,28,"NA","uuid:7ae21762-f3c7-401e-b45a-c2c1c5e87b18","Kebosongo",22,"Female","Mkurya","None","Yes","6",1,"Young_boy Men Young_girl Women",1,1,"1","NA","1","2","NA","2",3,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",8,"No","15_30","9","3","Shouting","","Elephant","","Elephant","","Often","Cattle","5","NA","NA","NA","NA","NA","NA","NA","Grazing_land","NA_noSmall","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys","1","NA","NA","","NA","NA","NA","","NA","","NA","Cattle Goat Sheep","1","1","2","NA","NA","NA","Hyena","NA","Hyena","NA","","Often","","","",1653.2,4.9,"uuid:7ae21762-f3c7-401e-b45a-c2c1c5e87b18",1,0,0,0,0,0,0,1,0,0,1,"elephant",28,0.462577313184738,0.0241466201841831,0.20167239010334,0.0338717065751553,0.00871706753969193,2.82959246635437,62.8089065551758,6449.38671875
